id,prediction,exact_match,f1
c61s2xwyfi0cugi,concienciar sobre el acoso escolar y social,0.0,0.631578947368421
7857zba14eers9x,Radio Televisión Dominicana,1.0,1.0
hkhjremdmrmix29,La Bandera Nacional,1.0,1.0
ayfu15q9bfn5nhb,Edgardo García,1.0,1.0
rpcbxp9rc8g0iuh,El próximo miércoles 22 de febrero,1.0,1.0
d2xt90fah10kox5,a 11 bateadores,1.0,1.0
sz9yeioprmn61xv,Scott Adams,1.0,1.0
ak5ubvypoj83wfp,55 minutos,1.0,1.0
3u77e1org81bc7f,Jalen Brunson,1.0,1.0
pxqbvfcey7z9p3q,en torno al 7%,0.0,0.0
7yfoxupiw6mf37s,en torno al embarazo en adolescentes,0.0,0.923076923076923
cftfka87bhwzs6o,desde diciembre,0.0,0.0
fokrrek3dseacem,a tres exministros,1.0,1.0
6ifjwhgjigmw5c3,a tres exministros,0.0,0.1
adrufk2slj332tf,“Una mujer está sola,1.0,1.0
